"HS_ID","Skupina","Podskupina","Kategorie výrobku","Zdroj","Included","CAGR_2022_30_ANALYSIS","IS_REALCAGR","CAGR_2022_30_FORECAST","CZ_Nazev","ENG_Nazev","Upravováno na novou HS22 terminologii","Odkud","Nově vloženo","Proč, odkud","IMF","","","","","","","","","",""
"701990","A03. Budovy","A03a. Snižování energetické náročnosti budov","Zateplení, izolace","LSE Navigator","IN","","N","0.0400","Skleněná vlákna a výrobky z nich,<br>jinde neuvedené ani nezahrnuté","Glass fibres: n.e.c. in heading no. 7019","Ano","","","","1","","","","","","","","","",""
"841239","A04. Výroba nízkoemisní elektřiny a paliv","A04a. Větrná","Komponenty pro větrnou energetiku","""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products","IN","0.0840","Y","0.0840","Motory,pohony pneumatické ostatní","Engines: pneumatic power engines and motors, other than linear acting (cylinders)","","","","","0","","","","","","","","","",""
"848790","A04. Výroba nízkoemisní elektřiny a paliv","A04a. Větrná","Komponenty pro větrnou energetiku","LSE Navigator","IN","","N","0.0400","Části,souč.strojů,přístr,neobs.el.prvky,jn,ost.","Machinery parts: not containing electrical connectors, insulators, coils, contacts or other electrical features, n.e.c. in chapter 84, other than ships' or boats' propellers and blades therefor","Ano","https://www.europarl.europa.eu/cmsdata/267347/QA-04-22-302-EN-C.pdf","","","0","","","","","","","","","",""
"901540","E01. Měřící a diagnostické přístroje; Monitoring","E01h. Surveying / Zeměměřičství (HS 9015)","Surveying / Zeměměřičství","LSE Navigator","IN","","N","0.0400","Nástroje,přístroje fotogrammetrické","Surveying equipment: photogrammetrical surveying instruments and appliances","","","","","0","","","","","","","","","",""
"390940","A03. Budovy","A03a. Snižování energetické náročnosti budov","Zateplení, izolace","LSE Navigator","IN","","N","0.0400","Pryskyřice fenolické","Phenolic resins: in primary forms","","","","","0","","","","","","","","","",""
"903300","E01. Měřící a diagnostické přístroje; Monitoring","E01i. Ostatní (HS 903x, a další)","Ostatní","LSE Navigator","IN","","N","0.0400","Části přístr.opt,foto,měřicích ap,lék,chir,jn","Machines and appliances, instruments or apparatus of chapter 90: parts and accessories n.e.c. in chapter 90","","","","","1","","","","","","","","","",""
"902890","E01. Měřící a diagnostické přístroje; Monitoring","E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)","Měření odběru a výroby plynů, tekutin, elektřiny","LSE Navigator","IN","","N","0.0400","Části plynoměrů,měřičů kapalin,elektroměrů","Meters: parts and accessories of gas, liquid, electricity supply or production meters, including calibrating meters thereof","","","","","0","","","","","","","","","",""
"840690","A04. Výroba nízkoemisní elektřiny a paliv","A04g. Efektivní využití plynu a vodíku","Komponenty pro výrobu energie z plynů","LSE Navigator","IN","","N","0.0400","Části,součásti turbin na vodní páru aj","Turbines: parts of steam and other vapour turbines","","","","","1","","","","","","","","","",""
"840140","A04. Výroba nízkoemisní elektřiny a paliv","A04f. Jádro","Komponenty pro jadernou energetiku","""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products","IN","","N","0.0400","Části,součásti reaktorů jaderných","Nuclear reactors: parts thereof","","","","","1","","","","","","","","","",""
"841290","A04. Výroba nízkoemisní elektřiny a paliv","A04a. Větrná","Komponenty pro větrnou energetiku","LSE Navigator","IN","0.0840","Y","0.0840","Části,součásti motorů,pohonů","Engines: parts, for engines and motors of heading no. 8412","","","","","1","","","","","","","","","",""
"841090","A04. Výroba nízkoemisní elektřiny a paliv","A04c. Vodní","Komponenty pro vodní energetiku","LSE Navigator","IN","","N","0.0400","Části,souč.turbin,kol vodních,vč regulátorů","Turbines: parts of hydraulic turbines and water wheels, including regulators","","","","","1","","","","","","","","","",""
"841199","A04. Výroba nízkoemisní elektřiny a paliv","A04g. Efektivní využití plynu a vodíku","Komponenty pro výrobu energie z plynů","LSE Navigator","IN","","N","0.0400","Části,součásti turbin plynových","Turbines: parts of gas turbines (excluding turbo-jets and turbo-propellers)","","","","","1","","","","","","","","","",""
"902690","E01. Měřící a diagnostické přístroje; Monitoring","E01d. Měření vlastností plynů a tekutnin (HS9026)","Měření vlastností plynů a tekutin","LSE Navigator","IN","","N","0.0400","Části přístrojů měření,kontroly kapalin,plynů","Instruments and apparatus: parts and accessories for those measuring or checking the flow, level, pressure or other variables of liquids or gases (excluding those of heading no. 9014, 9015, 9028 or 9032)","","","","","1","","","","","","","","","",""
"850490","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","LSE Navigator","IN","0.0580","Y","0.0580","Části odporů,transformátorů,měničů,iduktorů","Electrical transformers, static converters and inductors: parts thereof","Nic neupravováno, jen že je to uvedeno i jako solární komponenta","","","","1","","","","","","","","","",""
"850300","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","LSE Navigator","IN","0.0580","Y","0.0580","Části motorů el,generátorů,generát.soustrojí","Electric motors and generators: parts suitable for use solely or principally with the machines of heading no. 8501 or 8502","","","","","1","","","","","","","","","",""
"901390","A04. Výroba nízkoemisní elektřiny a paliv","A04b. Solární","Komponenty pro solární energetiku","LSE Navigator","IN","0.1200","Y","0.1200","Části laserů,výrobků s krystaly tekutými ap","Optical appliances and instruments: parts and accessories for articles of heading no. 9013","","","","","1","","","","","","","","","",""
"901590","E01. Měřící a diagnostické přístroje; Monitoring","E01h. Surveying / Zeměměřičství (HS 9015)","Surveying / Zeměměřičství","LSE Navigator","IN","","N","0.0400","Části přís.geodet,topograf.ap,dálkoměrů,libel","Surveying equipment: parts and accessories for articles of heading no. 9015","","","","","0","","","","","","","","","",""
"903290","E01. Měřící a diagnostické přístroje; Monitoring","E01i. Ostatní (HS 903x, a další)","Ostatní","LSE Navigator","IN","","N","0.0400","Části přístr.automat.regulačních,kontrolních","Regulating or controlling instruments and apparatus: automatic, parts and accessories","","","","","1","","","","","","","","","",""
"903190","E01. Měřící a diagnostické přístroje; Monitoring","E01i. Ostatní","Ostatní","LSE Navigator","IN","","N","0.0400","Části přístrojů měřících,kontrolních,jn","Instruments, appliances and machines: parts and accessories for those measuring or checking devices of heading no. 9031","","","","","1","","","","","","","","","",""
"903090","E01. Měřící a diagnostické přístroje; Monitoring","E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)","Ostatní","LSE Navigator","IN","","N","0.0400","Části přístrojů měřicích (el.veličiny,záření)","Instruments, apparatus for measuring, checking electrical quantities, not meters of heading no. 9028: parts and accessories, for measuring or detecting alpha, beta, gamma, x-ray, cosmic and other radiations","","","","","0","","","","","","","","","",""
"860799","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Části,součásti ost.železničních aj vozidel","Railway or tramway rolling stock: parts n.e.c. in heading no. 8607","","","","","0","","","","","","","","","",""
