,HS6,OD,DO,POPIS
3404,621290,2017-01-01,2999-12-31,"Šle,podvazky ap výrobky,i pletené,háčkované"
3405,621320,2017-01-01,2999-12-31,Kapesníky z bavlny
3406,621390,2017-01-01,2999-12-31,Kapesníky z materiálu textilního ostatního
3407,621410,2017-01-01,2999-12-31,"Přehozy,šátky,šály,mantily ap z hedvábí přír."
3408,621420,2017-01-01,2999-12-31,"Přehozy,šátky,šály,mantily ap z vlny,chlupů"
3409,621430,2017-01-01,2999-12-31,"Přehozy,šátky,šály,mantily ap z vláken syntet"
3410,621440,2017-01-01,2999-12-31,"Přehozy,šátky,šály,mantily ap z vlák.umělých"
3411,621490,2017-01-01,2999-12-31,"Přehozy,šátky,šály,mantily ap z mat.text.ost."
3412,621510,2017-01-01,2999-12-31,"Vázanky,motýlky,kravaty z hedvábí přír,odpadu"
3413,621520,2017-01-01,2999-12-31,"Vázanky,motýlky,kravaty z vláken chemických"
3414,621590,2017-01-01,2999-12-31,"Vázanky,motýlky,kravaty z mat.textilních ost."
3415,621600,2017-01-01,2999-12-31,"Rukavice prstové,palcové,bez prstů"
3416,621710,2017-01-01,2999-12-31,Doplňky oděvní zcela zhotovené jiné
3417,621790,2017-01-01,2999-12-31,"Části oděvů,doplňků oděvních"
3418,630110,2017-01-01,2999-12-31,Přikrývky elektricky vyhřívané
3419,630120,2017-01-01,2999-12-31,"Přikrývky,koberečky cestovní z vlny,chlupů zv"
3420,630130,2017-01-01,2999-12-31,"Přikrývky,koberečky cestovní z bavlny"
3421,630140,2017-01-01,2999-12-31,"Přikrývky,koberečky cestovní z vláken syntet."
3422,630190,2017-01-01,2999-12-31,"Přikrývky,koberečky cestovní ostatní"
3423,630210,2017-01-01,2999-12-31,"Prádlo ložní,pletené,háčkované"
3424,630221,2017-01-01,2999-12-31,Prádlo ložní potisknuté z bavlny
3425,630222,2017-01-01,2999-12-31,Prádlo ložní potisknuté z vláken chemických
3426,630229,2017-01-01,2999-12-31,Prádlo ložní potisknuté z mat.textilních ost.
3427,630231,2017-01-01,2999-12-31,Prádlo ložní jiné z bavlny
3428,630232,2017-01-01,2999-12-31,Prádlo ložní jiné z vláken chemických
3429,630239,2017-01-01,2999-12-31,Prádlo ložní jiné z materiálů textilních ost.
3430,630240,2017-01-01,2999-12-31,"Prádlo stolní,pletené,háčkované"
3431,630251,2017-01-01,2999-12-31,Prádlo stolní jiné z bavlny
3432,630253,2017-01-01,2999-12-31,Prádlo stolní jiné z vláken chemických
3433,630259,2017-01-01,2999-12-31,Prádlo stolní jiné z materiálů textliních ost
3434,630260,2017-01-01,2999-12-31,"Prádlo toal,kuchyňské z froté ap tex,z bavlny"
3435,630291,2017-01-01,2999-12-31,"Prádlo ložní,stolní,toal,kuchyň.ost.z bavlny"
3436,630293,2017-01-01,2999-12-31,"Prádlo ložní,stolní,toal,kuchyň.ost.z vl.chem"
3437,630299,2017-01-01,2999-12-31,"Prádlo ložní,stol,toal,kuch.ost.z mat.tex.ost"
3438,630312,2017-01-01,2999-12-31,"Záclony,závěsy,rolety ap z vl.synt,plet,háčk."
3439,630319,2017-01-01,2999-12-31,"Záclony,závěsy,rolety ap z mat.tex.ost,plet."
3440,630391,2017-01-01,2999-12-31,"Záclony,závěsy,rolety,draperie z bavlny"
3441,630392,2017-01-01,2999-12-31,"Záclony,závěsy,rolety ap z vláken syntetic."
3442,630399,2017-01-01,2999-12-31,"Záclony,závěsy,rolety ap z mater.textil.ost."
3443,630411,2017-01-01,2999-12-31,"Přehozy lůžkové,pletené,háčkované"
3444,630419,2017-01-01,2999-12-31,"Přehozy lůžkové,ne pletené,háčkované"
3445,630420,2017-01-01,2999-12-31,"Moskytiéry, osnovní pleteniny, pro prevenci nákazy malárii, specifikované v poznámce k položkám 1 kapitoly 63"
3446,630491,2017-01-01,2999-12-31,"Textilie bytové ostatní,pletené,háčkované"
3447,630492,2017-01-01,2999-12-31,"Textilie bytové ost.bavlněné,ne pletené,háčk."
3448,630493,2017-01-01,2999-12-31,"Textilie bytové ost.z vlák.syntet,ne plet,háč"
3449,630499,2017-01-01,2999-12-31,"Textilie bytové z mat.textil.ost,ne plet,háčk"
3450,630510,2017-01-01,2999-12-31,"Pytle,pytlíky k balení zboží z juty aj vl.lýk"
3451,630520,2017-01-01,2999-12-31,"Pytle,pytlíky k balení zboží z bavlny"
3452,630532,2017-01-01,2999-12-31,Pytle k balení zboží pružné z polyethylenu
3453,630533,2017-01-01,2999-12-31,Pytle k balení zboží z polypropylen. pásků
3454,630539,2017-01-01,2999-12-31,"Pytle,pytlíky z pásků z mater.textil.chem.ost"
3455,630590,2017-01-01,2999-12-31,"Pytle,pytlíky z pásků z mater.textilních ost."
3456,630612,2017-01-01,2999-12-31,"Plachty nepromokavé,ochran,stínící z vl.synt."
3457,630619,2017-01-01,2999-12-31,"Plachty nepromok,ochran,stínící z mat.tex.ost"
3458,630622,2017-01-01,2999-12-31,Stany z vláken syntetických
3459,630629,2017-01-01,2999-12-31,Stany z materiálů textilních ostatních
3460,630630,2017-01-01,2999-12-31,Stany
3461,630640,2017-01-01,2999-12-31,Plachty lodní
3462,630690,2017-01-01,2999-12-31,Prkna k plachtění na vodě nebo na souši; kempinkové výrobky
3463,630710,2017-01-01,2999-12-31,"Hadry na podlahu,utěrky na nádobí,prachovky"
3464,630720,2017-01-01,2999-12-31,"Vesty,pásy záchranné"
3465,630790,2017-01-01,2999-12-31,Výrobky zcela zhotovené ost.vč šablon střih.
3466,630800,2017-01-01,2999-12-31,"Soupravy tkanin,přízí k výr.koberečků,ubrusů"
3467,630900,2017-01-01,2999-12-31,Oděvy obnošené aj výrobky textilní opotřebené
3468,631010,2017-01-01,2999-12-31,"Hadry použité,nové,odpady šňůr,lan ap,tříděné"
3469,631090,2017-01-01,2999-12-31,"Hadry použité,nové,odpady šňůr,lan ap,netříd."
3470,640110,2017-01-01,2999-12-31,"Obuv nepromok.z kaučuku ap,kovová ochr.špička"
3471,640192,2017-01-01,2999-12-31,"Obuv nepromok.z kaučuku,plastů,kryjící kotník"
3472,640199,2017-01-01,2999-12-31,"Obuv nepromokavá z kaučuku,plastů ostatní"
3473,640212,2017-01-01,2999-12-31,Sportovní a lyžařská obuv  z plastů
3474,640219,2017-01-01,2999-12-31,"Obuv sportovní ostatní z kaučuku,plastů"
3475,640220,2017-01-01,2999-12-31,"Obuv z kaučuku,plastů,svršek z řemínků,pásků"
3476,640291,2017-01-01,2999-12-31,"Obuv z kaučuku,plastů,kryjící kotník"
3477,640299,2017-01-01,2999-12-31,"Obuv z kaučuku,plastů ostatní"
3478,640312,2017-01-01,2999-12-31,Sportovní a lyžařská obuv z kůže
3479,640319,2017-01-01,2999-12-31,"Obuv sport.ost.z usně,podešev kauč,plast,useň"
3480,640320,2017-01-01,2999-12-31,"Obuv z řemínků z usně přes nárt,podešev useň"
3481,640340,2017-01-01,2999-12-31,"Obuv z usně,kov.špička,podešev kaučuk ap,useň"
