HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
901540,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Nástroje,přístroje fotogrammetrické","Photogrammetrical surveying instruments, appliances",#ffe119,#E6FB47
901580,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Přístr.geodet,topograf,meteorolog,geofyz.ost.","Surveying, etc instruments nes",#ffe119,#E6FB47
901590,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Části přís.geodet,topograf.ap,dálkoměrů,libel",Parts and accessories for surveying etc instruments,#ffe119,#E6FB47
901600,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Váhy o citlivosti 5cg a citliv,i<br>se závažím",Balances of a sensitivity of 50 milligram or better,#ffe119,#E6FB47
901730,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Mikrometry,měřítka posuvná,kalibry,měrky","Micrometers, callipers and gauges",#ffe119,#E6FB47
902511,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Teploměry,nekombinov,kapalinové,přímé čtení","Thermometers, liquid-filled",#ffe119,#E6FB47
902519,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Teploměry,nekombinované,ostatní","Thermometers, except liquid filled",#ffe119,#E6FB47
902580,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Hydrometry,žároměry,vlhkoměry,psychometry ap","Hydrometer, pyrometer, hygrometer, alone or combined",#ffe119,#E6FB47
902590,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Části teploměrů,tlakoměrů,hydrometrů ap příst","Parts and accessories for thermometers, etc",#ffe119,#E6FB47
902610,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Přístroje měření,kontroly průtoku ap kapalin",Equipment to measure or check liquid flow or level,#ffe119,#E6FB47
902620,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Přístroje měření,kontroly tlaku kaplin,plynů",Equipment to measure or check pressure,#ffe119,#E6FB47
902680,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Přístr.ost.měření ap proměn.charak.kapalin ap,"Equipment to measure, check gas/liquid properties nes",#ffe119,#E6FB47
902690,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Části přístrojů měření,kontroly kapalin,plynů",Parts of equipment to measure or check fluid variable,#ffe119,#E6FB47
902710,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Analyzátory plynů,kouře",Gas/smoke analysis apparatus,#ffe119,#E6FB47
902720,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Chromatografy,přístroje pro elektroforézu","Chromatographs, electrophoresis instruments",#ffe119,#E6FB47
902730,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Spektrometry,-grafy ap použív.optické záření","Spectrometers, spectrophotometers, etc using light",#ffe119,#E6FB47
902750,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Přístroje,nástroje ost.použív.optické záření",Instruments nes using optical radiations,#ffe119,#E6FB47
902781,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Hmotnostní spektrometry,"Analysis instruments: Viscosity, porosity, spectrometers",#ffe119,#E6FB47
